task_completion_rate,avg_task_time_hours,feedback_rating,attendance_rate,punctuality_score,problem_solving_rating,team_collaboration_score,training_completion_pct,deadline_adherence_ratio,performance_score,outcome_label
0.9802,1.52,4.07,0.861,10.0,3.95,7.27,0.5706,0.8889,0.8679,High Excel
0.625,13.15,4.36,0.8203,6.02,3.07,7.44,0.7805,1.0,0.7378,Excel
0.802,6.88,1.65,0.6054,8.76,1.72,4.62,0.5017,1.0,0.6078,Average
0.7493,11.14,2.57,0.805,4.76,4.23,4.19,0.6362,0.1111,0.5314,Average
0.7583,5.72,1.8,0.8699,10.0,3.05,1.0,0.7533,0.1111,0.5628,Average
0.6699,10.63,4.34,0.9013,6.64,2.96,5.89,0.4777,0.8333,0.6756,Average
0.9023,9.18,1.37,1.0,4.66,2.81,7.87,0.8299,0.5385,0.7082,Excel
0.5672,13.08,2.99,0.8167,7.81,3.61,7.58,0.8676,0.2,0.5924,Average
0.7377,5.91,2.35,1.0,4.86,3.57,5.73,0.8448,0.8125,0.7342,Excel
0.7495,6.34,1.42,0.9072,4.94,2.8,8.42,0.648,0.4286,0.6096,Average
0.6602,9.09,2.89,0.8193,4.79,1.66,9.4,0.707,0.0588,0.5539,Average
0.5382,10.64,2.63,0.7908,5.16,2.91,9.91,0.6081,0.7647,0.6164,Average
0.7913,9.0,1.04,0.6437,3.9,2.42,4.21,0.6329,1.0,0.6415,Average
0.7805,9.73,2.85,0.8563,6.6,1.88,7.64,0.9516,0.25,0.6546,Average
0.4296,4.41,2.13,0.8328,3.85,3.35,5.9,0.8434,0.6471,0.5634,Average
0.8014,10.29,4.28,0.8262,7.92,3.11,6.49,0.8719,0.4,0.7181,Excel
0.5961,7.35,4.01,0.8791,8.91,3.51,7.91,0.8811,0.6667,0.7424,Excel
0.8065,9.95,3.13,1.0,8.96,4.17,5.41,0.5039,0.125,0.6427,Average
0.8135,6.8,3.66,0.7987,6.19,3.04,6.44,0.8079,0.0833,0.6079,Average
0.6074,10.35,2.83,1.0,5.35,4.23,7.57,0.5774,0.6875,0.7005,Excel
0.6257,8.84,3.87,0.8259,7.75,3.96,6.59,0.4413,0.2143,0.6277,Average
0.7348,10.81,1.0,0.9978,7.56,3.12,3.51,0.8167,0.8,0.6378,Average
1.0,9.37,2.63,0.8461,1.0,3.95,8.74,0.8403,0.8571,0.7676,Excel
0.6112,11.16,3.33,0.9551,4.48,3.64,5.09,0.6101,0.8333,0.6888,Excel
0.7733,8.72,3.89,0.6954,5.43,4.19,5.54,0.5523,0.3,0.6005,Average
0.5024,10.4,2.87,0.9238,7.21,3.37,10.0,0.9289,0.2941,0.5819,Average
0.4438,8.41,3.32,0.9747,3.03,2.32,5.47,0.5754,0.9375,0.5477,Average
0.7943,4.0,2.95,0.9835,7.01,2.84,10.0,0.4282,0.3333,0.6829,Excel
0.2,13.67,3.06,0.7038,9.36,3.13,9.54,0.5878,0.3333,0.4787,Struggle
0.6331,12.8,4.36,0.5739,7.78,3.3,6.62,0.8967,0.5,0.6557,Average
0.5628,5.65,3.22,0.7646,4.75,3.43,9.36,0.7546,0.6,0.6728,Average
0.7901,10.84,2.76,0.6898,5.95,1.83,4.05,0.8325,0.6667,0.6126,Average
0.534,12.07,4.33,0.7362,8.21,4.44,5.39,0.686,0.7143,0.6839,Excel
0.26,10.83,3.54,0.9488,3.23,2.36,6.8,0.8747,0.3333,0.4972,Struggle
0.7062,6.61,2.78,0.6753,10.0,2.64,8.74,0.4662,0.375,0.6632,Average
0.675,14.72,3.58,0.9981,8.26,4.99,6.93,0.7366,0.3846,0.7194,Excel
0.8899,9.34,3.93,0.7682,7.21,3.78,3.79,0.9062,0.0,0.6844,Excel
0.4301,8.4,3.77,0.9409,7.39,3.52,8.12,0.566,0.3636,0.636,Average
0.5609,12.08,2.66,0.8118,6.27,2.11,7.01,0.6659,0.8667,0.6376,Average
0.5317,3.08,4.28,0.7189,5.75,2.13,5.23,0.7349,0.2143,0.5799,Average
0.8971,10.98,2.43,1.0,4.21,4.16,7.0,0.4832,0.7,0.6893,Excel
0.9662,5.78,3.31,0.9713,8.91,4.05,5.26,0.5541,0.2143,0.6982,Excel
0.4335,9.62,2.35,0.7659,7.68,2.4,8.2,0.8685,0.6429,0.5847,Average
0.8494,6.03,3.08,0.8697,10.0,4.31,5.57,1.0,0.4286,0.7476,Excel
0.7137,7.04,3.14,0.8038,10.0,3.46,7.83,0.5161,0.8571,0.7169,Excel
0.33,12.53,3.61,0.7245,7.09,4.26,4.25,0.7285,0.3333,0.5194,Average
0.8497,13.27,2.8,0.6885,10.0,3.53,4.87,0.6159,0.6,0.6463,Average
0.9107,13.06,3.51,0.5844,7.22,3.54,9.44,0.764,0.25,0.6899,Excel
0.8745,5.36,2.75,0.6462,4.26,3.81,9.88,0.8117,0.8462,0.6943,Excel
0.8333,8.19,3.32,0.6849,4.67,2.8,1.12,1.0,0.4667,0.6041,Average
0.6489,10.44,3.19,0.7673,7.57,3.0,9.66,0.8613,0.125,0.5809,Average
0.4401,12.52,2.93,0.582,2.77,2.51,4.82,0.5483,0.75,0.5089,Average
0.3524,9.22,3.69,0.9404,6.78,3.9,7.42,0.4158,0.1538,0.6109,Average
0.9454,9.92,3.74,0.5265,8.67,3.55,2.19,0.9737,0.8824,0.7619,Excel
0.7772,12.41,3.37,0.8852,6.43,2.3,4.29,0.5608,0.3077,0.6032,Average
0.9554,6.57,2.16,0.4795,7.46,4.21,8.49,0.9032,0.0667,0.63,Average
0.2513,8.58,4.41,0.7311,6.6,3.41,3.37,0.713,1.0,0.5808,Average
0.4305,9.28,3.56,0.9492,6.9,5.0,10.0,0.5776,0.5,0.6827,Excel
0.6117,7.96,2.84,0.7451,8.23,1.41,8.1,0.7648,0.3333,0.5653,Average
1.0,11.24,4.94,0.7082,9.08,1.72,7.17,0.8981,0.5,0.7773,Excel
0.8583,5.85,3.62,0.7217,8.07,2.34,5.52,0.4829,0.25,0.631,Average
0.7231,6.48,1.86,0.8026,5.74,3.39,4.52,0.4806,0.0667,0.5688,Average
0.5796,11.41,2.9,0.7335,6.15,1.94,10.0,0.7518,0.625,0.6192,Average
1.0,7.08,3.74,0.759,7.94,2.85,7.84,0.5852,0.9286,0.8212,High Excel
0.2,3.79,4.15,0.807,2.6,5.0,7.45,0.8135,0.0,0.534,Average
1.0,9.32,4.11,0.7972,3.77,2.78,4.54,0.9732,0.7647,0.7381,Excel
0.8802,15.43,3.9,0.6574,9.72,3.53,4.22,0.686,0.1429,0.6478,Average
0.733,10.02,5.0,0.754,3.8,1.81,9.4,0.6154,1.0,0.7314,Excel
0.7844,1.0,3.04,0.8338,5.46,3.08,2.55,0.8938,0.2,0.6391,Average
0.4375,9.09,4.37,0.7441,8.91,4.48,3.09,0.5079,0.3846,0.5896,Average
0.6095,7.98,2.41,0.663,7.54,5.0,5.29,0.6391,0.0,0.5261,Average
0.5309,7.03,3.09,0.9074,3.76,3.88,7.38,0.9161,1.0,0.6829,Excel
0.6612,3.62,1.38,0.8149,5.87,3.58,6.6,0.7771,0.0,0.5656,Average
1.0,7.28,3.68,1.0,3.91,5.0,5.31,1.0,1.0,0.8375,High Excel
0.931,9.32,2.13,0.8642,5.86,2.7,6.07,0.6076,0.6667,0.6826,Excel
0.7256,8.17,3.8,0.8372,5.73,2.71,9.85,0.7814,0.75,0.7467,Excel
0.4852,1.0,3.72,0.7933,4.48,3.76,4.72,0.8965,0.5,0.5866,Average
0.5172,9.76,2.81,0.8621,10.0,4.25,6.24,1.0,0.125,0.6709,Average
0.3657,7.31,3.02,0.6463,4.59,1.76,7.2,0.8825,0.2667,0.4779,Struggle
0.8227,8.91,3.98,0.8284,3.06,3.76,4.81,0.7292,0.6471,0.6987,Excel
0.7042,12.63,2.08,0.8945,6.01,1.18,8.69,0.8547,0.5556,0.6091,Average
0.3698,8.2,2.39,1.0,10.0,5.0,5.38,1.0,0.25,0.628,Average
0.8712,6.19,2.89,0.9264,4.74,2.36,6.67,0.813,0.9231,0.6977,Excel
0.6858,7.93,2.72,0.8333,7.88,4.23,5.52,0.3483,0.2941,0.5969,Average
1.0,11.59,1.56,0.6382,5.97,3.44,6.1,0.9098,0.0,0.6136,Average
0.5963,3.54,3.18,0.7943,2.27,2.44,7.08,0.6517,1.0,0.6539,Average
0.5267,8.88,3.81,0.8083,4.42,3.68,7.83,0.4475,0.125,0.5569,Average
0.7434,9.73,3.41,0.9038,4.91,3.02,6.93,0.3603,0.2667,0.6257,Average
0.6914,4.74,2.71,0.886,6.59,3.01,4.76,0.6963,0.625,0.6925,Excel
0.8227,8.45,2.96,0.4876,10.0,2.89,4.93,0.9265,0.0,0.5856,Average
0.8467,4.93,2.49,0.431,10.0,4.4,6.88,0.7623,0.2,0.6378,Average
0.7484,6.57,3.57,0.613,5.19,1.74,10.0,0.8332,0.125,0.5957,Average
0.6605,9.79,4.61,0.849,8.01,4.41,4.69,0.8555,0.4615,0.6923,Excel
0.6214,6.76,3.84,0.6435,7.53,3.47,7.22,0.7079,0.0,0.5414,Average
0.4783,11.25,1.0,0.8303,8.3,2.15,6.33,0.7797,0.7778,0.55,Average
0.6318,3.73,4.09,0.7441,3.81,3.16,8.64,0.893,0.1429,0.5989,Average
0.7199,12.09,2.85,0.8828,4.28,4.67,3.58,0.9795,0.8182,0.6781,Average
0.6455,1.29,3.48,0.8018,6.37,3.63,5.75,0.6997,0.3571,0.6438,Average
0.8679,16.6,4.68,0.9797,9.19,2.94,6.15,1.0,0.0,0.6776,Average
0.7089,4.09,4.39,0.6206,8.8,3.69,6.39,0.8322,0.9231,0.7501,Excel
0.5842,3.98,3.27,0.9765,9.86,2.74,4.45,0.8488,0.5385,0.6841,Excel
0.7526,6.07,3.58,1.0,6.41,3.67,4.09,0.8114,0.3125,0.6743,Average
0.9104,15.8,4.12,0.8826,3.92,4.54,4.47,0.5205,0.7273,0.7003,Excel
0.5608,7.75,2.04,0.8221,4.64,2.89,7.93,0.6677,0.5625,0.5943,Average
0.479,7.65,4.01,0.7279,9.81,4.03,9.35,0.6109,0.8,0.7504,Excel
0.6958,10.48,4.73,0.834,4.57,4.05,6.94,0.6408,0.7778,0.7015,Excel
0.5785,10.0,4.15,1.0,6.58,5.0,3.88,1.0,1.0,0.7673,Excel
0.4756,6.14,1.76,0.9426,7.94,2.42,8.24,0.6673,0.8462,0.6402,Average
0.8899,4.36,3.31,0.9209,5.4,1.5,7.44,0.6241,1.0,0.7926,Excel
0.6013,5.61,4.64,0.6729,5.09,1.82,7.11,0.8979,0.5556,0.633,Average
0.6415,7.72,3.34,0.8534,4.84,3.22,9.7,0.7229,0.6,0.7065,Excel
0.6624,7.2,5.0,0.7146,4.03,2.74,7.21,0.5093,0.0,0.5564,Average
0.5363,10.46,3.17,0.6688,7.33,3.58,7.95,0.4509,1.0,0.6683,Average
0.954,11.33,2.74,0.8518,4.07,3.93,9.21,0.7441,0.0,0.6847,Excel
0.6049,3.74,4.24,0.7373,5.92,4.19,9.59,0.6461,0.25,0.5947,Average
0.2627,4.45,4.6,1.0,6.76,4.95,5.26,0.8517,0.5882,0.6792,Average
0.8368,12.33,2.48,0.7182,8.36,1.54,4.28,0.829,0.3333,0.6071,Average
0.5219,6.74,3.57,0.9774,7.81,3.92,2.44,0.8668,0.8571,0.6949,Excel
0.7867,1.47,3.89,0.5866,6.87,3.0,5.29,0.7854,0.0588,0.6048,Average
0.9182,2.99,2.55,1.0,8.19,3.6,3.84,0.7009,0.8125,0.7904,Excel
0.6329,9.85,1.78,0.7557,8.27,4.12,6.43,0.9248,1.0,0.6351,Average
0.6203,8.27,3.43,0.9729,5.49,3.62,4.99,0.7858,0.7143,0.6895,Excel
0.8899,5.31,5.0,0.6368,10.0,3.71,4.37,1.0,1.0,0.8354,High Excel
0.5857,3.01,2.53,0.6985,7.74,5.0,1.96,0.8026,1.0,0.7077,Excel
0.6474,2.39,1.98,0.6669,9.51,1.0,6.56,0.6902,0.6,0.5936,Average
0.8278,5.71,4.06,0.8963,6.44,1.59,10.0,0.5542,1.0,0.7765,Excel
0.6863,6.57,2.12,0.6396,3.83,2.66,8.68,0.9455,1.0,0.6386,Average
0.6381,13.7,5.0,1.0,5.72,2.28,5.99,0.598,0.0,0.6014,Average
0.9096,12.68,2.43,0.8209,8.85,3.89,4.6,0.6632,0.4167,0.6389,Average
0.6957,8.29,1.94,0.8262,6.56,2.54,2.72,0.7335,0.9167,0.5918,Average
0.4755,8.77,4.98,0.9085,9.92,2.9,5.63,0.8222,0.4167,0.6996,Excel
0.506,7.79,3.1,0.8557,5.07,2.57,6.5,1.0,0.3333,0.5751,Average
0.7655,8.89,3.74,0.7748,4.13,4.46,3.05,0.7908,0.6364,0.6493,Average
0.5546,10.76,4.24,0.8274,4.55,2.17,3.52,0.4867,0.9286,0.6039,Average
0.5658,8.79,2.93,0.6298,4.99,3.36,4.4,0.4695,0.0588,0.4631,Struggle
0.7403,10.34,2.76,0.8689,3.67,1.13,6.89,0.8814,0.7143,0.5927,Average
0.5335,8.14,3.42,0.9484,9.38,4.03,3.59,0.4459,0.2,0.575,Average
0.5883,9.34,2.64,0.6674,3.72,3.89,9.13,0.8441,0.6667,0.6018,Average
0.5633,6.93,4.55,0.8217,5.1,1.74,4.29,0.4078,0.0588,0.5091,Average
0.5901,11.37,3.42,0.8608,4.4,4.02,5.64,0.9502,0.4286,0.598,Average
